season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
spring,weekday,morning,-6.192600441384363,17.582,31.3,4.59,239.28400000000002,359.4,101.8,14.819999999999999,47.6,-5.3,10.314,10.47,10.11,1031.466,1032.73,1030.29,27.830000000000002,28.46,27.42,20.374000000000002,21.31,19.25,13.7,12.1,5,12.7,5.28
spring,weekday,afternoon,-7.480627517562198,7.118,22.32,1.98,188.924,247.95,8.43,33.46,57.2,14.5,10.700999999999999,10.84,10.61,1031.031,1031.83,1029.78,25.525,25.78,25.19,19.656,20.88,18.87,12.9,10.6,10,11.82,7.21
spring,weekend,morning,4.529431714509872,3.9836842105263157,8.87,0.81,137.54947368421054,263.34,20.05,418.1578947368421,480.4,405.0,14.613684210526314,14.95,14.14,1023.6136842105263,1023.69,1023.53,35.48842105263158,35.8,35.17,24.05263157894737,24.87,23.31,15.7,11.7,19,13.389473684210527,46.6
spring,weekday,night,9.061887537601386,21.613333333333333,34.48,7.93,76.50666666666666,83.79,69.1,27.8,30.2,25.5,56.20666666666667,56.34,56.09,1006.65,1006.87,1006.42,17.91,17.92,17.9,13.19,13.19,13.19,18.2,15.3,3,16.333333333333332,1.88
spring,weekday,morning,8.666058413256351,13.6575,29.87,0.7,222.02,259.82,131.19,49.125,50.4,48.0,54.510000000000005,54.56,54.47,1005.77,1005.94,1005.6,17.9725,17.99,17.95,13.0,13.06,12.94,19.4,16.8,4,17.75,39.13
spring,weekday,night,6.488961310919804,17.0,25.63,0.48,200.07857142857142,296.85,30.99,50.42857142857143,59.7,44.9,56.64714285714285,57.07,55.7,1017.1342857142857,1018.34,1016.04,15.032857142857143,15.83,14.69,11.76,12.5,11.44,20.5,10.2,7,15.285714285714286,19.4
spring,weekday,morning,7.432214886535853,22.944,32.91,7.19,218.27399999999997,258.6,70.76,40.78,48.4,35.4,50.324,52.31,47.87,1017.018,1018.4,1015.97,17.91,19.03,16.86,14.062000000000001,14.87,13.25,15.8,11.4,5,13.1,22.74
spring,weekend,afternoon,4.4458760683140754,20.46,20.46,20.46,233.68,233.68,233.68,149.1,149.1,149.1,27.87,27.87,27.87,1006.35,1006.35,1006.35,24.17,24.17,24.17,16.87,16.87,16.87,1.0,1.0,1,1.0,2.18
spring,weekday,morning,-0.9501843892999292,21.24,21.24,21.24,276.7,276.7,276.7,164.1,164.1,164.1,27.5875,27.7,27.5,1008.7975,1011.59,1006.99,18.0525,18.06,18.04,12.0625,12.25,12.0,3.9,2.5,4,3.35,4.27
spring,weekday,night,7.353296597906796,12.45,12.45,12.45,69.84,69.84,69.84,-27.1,-27.1,-27.1,42.57,42.57,42.57,1006.06,1006.06,1006.06,20.51,20.51,20.51,16.62,16.62,16.62,4.1,4.1,1,4.1,14.26
spring,weekday,morning,15.640428941328285,11.015,21.13,0.8,121.35499999999999,199.64,51.77,-470.375,-466.3,-472.9,37.5575,37.75,37.41,1019.84,1020.47,1019.2,31.9,31.95,31.84,29.372500000000002,29.44,29.31,7.0,4.9,4,5.75,14.61
spring,weekday,morning,15.633043368311364,19.83,19.83,19.83,51.77,51.77,51.77,-466.3,-466.3,-466.3,37.37,37.37,37.37,1018.77,1018.77,1018.77,31.98,31.98,31.98,29.37,29.37,29.37,6.5,6.5,1,6.5,10.41
