season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekday,afternoon,6.029490280645756,6.037605350374306,6.021375210917207,45.6234775,45.623515,45.62344,13.78717,13.787622,13.786718,12.5,22.52,2.48,90.75,100.56,80.94,31.35,31.8,30.9,39.83,39.84,39.82,1022.88,1022.95,1022.81,20.115000000000002,20.12,20.11,11.12,11.12,11.12,21.8,16.6,2,19.200000000000003,7.14
winter,weekday,evening,5.663205561656319,5.663205561656319,5.663205561656319,45.623627,45.623627,45.623627,13.788073,13.788073,13.788073,27.06,27.06,27.06,74.03,74.03,74.03,25.1,25.1,25.1,44.56,44.56,44.56,1022.99,1022.99,1022.99,17.91,17.91,17.91,9.88,9.88,9.88,16.2,16.2,1,16.2,18.64
winter,weekday,night,7.301359907750074,7.301359907750074,7.301359907750074,45.623407,45.623407,45.623407,13.786758,13.786758,13.786758,26.78,26.78,26.78,105.81,105.81,105.81,21.5,21.5,21.5,57.2,57.2,57.2,1022.22,1022.22,1022.22,15.75,15.75,15.75,10.0,10.0,10.0,17.2,17.2,1,17.2,6.8
winter,weekday,morning,7.746730054083809,7.746730054083809,7.746730054083809,45.623405,45.623405,45.623405,13.786922,13.786922,13.786922,29.59,29.59,29.59,89.69,89.69,89.69,37.5,37.5,37.5,50.36,50.36,50.36,1022.04,1022.04,1022.04,18.24,18.24,18.24,10.88,10.88,10.88,9.0,9.0,1,9.0,15.42
winter,weekday,morning,8.545972203763096,8.54767429562115,8.544270111905044,45.623557500000004,45.623573,45.623542,13.787274,13.788068,13.78648,35.754999999999995,41.73,29.78,102.875,130.18,75.57,39.45,40.3,38.6,50.81,50.82,50.8,1022.865,1022.94,1022.79,18.965,18.97,18.96,11.12,11.12,11.12,12.1,11.8,2,11.95,19.71
winter,weekday,morning,9.488579518462506,9.488579518462506,9.488579518462506,45.623518,45.623518,45.623518,13.787827,13.787827,13.787827,40.69,40.69,40.69,78.13,78.13,78.13,34.0,34.0,34.0,59.32,59.32,59.32,1022.75,1022.75,1022.75,17.51,17.51,17.51,10.88,10.88,10.88,23.5,23.5,1,23.5,28.89
winter,weekday,morning,9.775179371372271,9.775179371372271,9.775179371372271,45.623488,45.623488,45.623488,13.787618,13.787618,13.787618,32.93,32.93,32.93,79.52,79.52,79.52,32.7,32.7,32.7,58.34,58.34,58.34,1022.06,1022.06,1022.06,18.08,18.08,18.08,12.5,12.5,12.5,14.2,14.2,1,14.2,33.45
winter,weekday,afternoon,9.536885200861356,9.536885200861356,9.536885200861356,45.623518,45.623518,45.623518,13.787693,13.787693,13.787693,39.95,39.95,39.95,78.34,78.34,78.34,37.0,37.0,37.0,52.54,52.54,52.54,1021.22,1021.22,1021.22,19.5,19.5,19.5,14.56,14.56,14.56,11.0,11.0,1,11.0,28.07
winter,weekday,afternoon,9.205892258749698,9.207478030965968,9.204306486533428,45.623484,45.62356,45.623408,13.7875325,13.788208,13.786857,22.415,25.59,19.24,86.2,98.54,73.86,38.55,40.1,37.0,46.835,46.84,46.83,1021.815,1021.91,1021.72,21.0,21.0,21.0,14.219999999999999,14.25,14.19,16.7,11.8,2,14.25,26.09
winter,weekday,afternoon,9.162224140725124,9.162224140725124,9.162224140725124,45.623425,45.623425,45.623425,13.786913,13.786913,13.786913,26.69,26.69,26.69,92.1,92.1,92.1,39.1,39.1,39.1,46.87,46.87,46.87,1021.9,1021.9,1021.9,20.94,20.94,20.94,13.31,13.31,13.31,17.9,17.9,1,17.9,13.48
