season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekday,morning,5.14433619202615,61.32,61.32,61.32,293.39,293.39,293.39,360.6,360.6,360.6,67.49,67.49,67.49,980.0,980.0,980.0,10.93,10.93,10.93,5.31,5.31,5.31,11.0,11.0,1,11.0,10.61
winter,weekday,morning,5.300103235436258,66.06,66.06,66.06,113.52,113.52,113.52,385.3,385.3,385.3,65.22,65.22,65.22,981.24,981.24,981.24,11.61,11.61,11.61,6.69,6.69,6.69,3.6,3.6,1,3.6,9.46
winter,weekday,morning,6.027483423169914,60.56,60.56,60.56,293.26,293.26,293.26,377.6,377.6,377.6,61.59,61.59,61.59,981.03,981.03,981.03,13.25,13.25,13.25,8.44,8.44,8.44,6.3,6.3,1,6.3,13.13
winter,weekday,morning,6.787984718007417,64.76,64.76,64.76,112.94,112.94,112.94,364.5,364.5,364.5,58.81,58.81,58.81,982.4,982.4,982.4,14.77,14.77,14.77,10.63,10.63,10.63,9.2,9.2,1,9.2,20.27
winter,weekday,afternoon,6.740587691551007,64.99,64.99,64.99,113.84,113.84,113.84,379.3,379.3,379.3,50.77,50.77,50.77,981.62,981.62,981.62,17.02,17.02,17.02,12.5,12.5,12.5,9.4,9.4,1,9.4,30.59
winter,weekday,afternoon,6.607106488023229,65.95,65.95,65.95,293.53,293.53,293.53,353.4,353.4,353.4,49.05,49.05,49.05,981.43,981.43,981.43,17.42,17.42,17.42,11.06,11.06,11.06,10.0,10.0,1,10.0,42.74
winter,weekday,afternoon,3.6038172077395925,61.99,61.99,61.99,114.13,114.13,114.13,363.5,363.5,363.5,54.7,54.7,54.7,982.48,982.48,982.48,12.48,12.48,12.48,4.5,4.5,4.5,4.9,4.9,1,4.9,18.52
winter,weekday,evening,3.957635269037321,61.99,61.99,61.99,293.07,293.07,293.07,363.1,363.1,363.1,54.13,54.13,54.13,981.79,981.79,981.79,13.02,13.02,13.02,4.37,4.37,4.37,4.2,4.2,1,4.2,13.42
winter,weekday,evening,3.188078156235238,56.269999999999996,65.39,47.15,203.73000000000002,294.23,113.23,370.15,379.1,361.2,56.065,57.01,55.12,981.78,982.09,981.47,11.66,11.99,11.33,3.7800000000000002,4.25,3.31,8.0,4.7,2,6.35,13.45
winter,weekday,morning,1.2146973264307128,52.86,52.86,52.86,113.9,113.9,113.9,376.8,376.8,376.8,68.36,68.36,68.36,983.23,983.23,983.23,6.63,6.63,6.63,2.31,2.31,2.31,9.2,9.2,1,9.2,2.84
winter,weekday,morning,4.611343327007534,57.88,57.88,57.88,113.41,113.41,113.41,379.9,379.9,379.9,52.65,52.65,52.65,983.9,983.9,983.9,14.15,14.15,14.15,11.81,11.81,11.81,3.0,3.0,1,3.0,12.2
winter,weekday,morning,4.960944709129834,63.67,63.67,63.67,292.87,292.87,292.87,369.5,369.5,369.5,50.84,50.84,50.84,983.04,983.04,983.04,15.07,15.07,15.07,11.63,11.63,11.63,8.4,8.4,1,8.4,15.51
winter,weekday,morning,5.955158170862195,63.69,63.69,63.69,113.88,113.88,113.88,368.2,368.2,368.2,52.75,52.75,52.75,983.32,983.32,983.32,15.57,15.57,15.57,12.37,12.37,12.37,22.1,22.1,1,22.1,14.22
winter,weekday,afternoon,5.850803708382715,65.45,65.45,65.45,294.22,294.22,294.22,369.5,369.5,369.5,52.64,52.64,52.64,982.25,982.25,982.25,15.49,15.49,15.49,11.75,11.75,11.75,15.7,15.7,1,15.7,18.6
winter,weekend,morning,1.0620005220081585,53.54,53.54,53.54,112.77,112.77,112.77,360.8,360.8,360.8,70.37,70.37,70.37,985.49,985.49,985.49,6.05,6.05,6.05,-0.81,-0.81,-0.81,7.4,7.4,1,7.4,14.8
winter,weekend,afternoon,5.503185411412311,64.52,64.52,64.52,293.19,293.19,293.19,362.8,362.8,362.8,43.3,43.3,43.3,986.34,986.34,986.34,18.19,18.19,18.19,13.69,13.69,13.69,6.0,6.0,1,6.0,6.57
winter,weekend,evening,-1.3165045042618324,49.45,49.45,49.45,114.51,114.51,114.51,369.2,369.2,369.2,38.97,38.97,38.97,989.46,989.46,989.46,12.26,12.26,12.26,6.37,6.37,6.37,4.7,4.7,1,4.7,2.16
winter,weekend,evening,-1.5788982559779368,54.32,54.32,54.32,293.32,293.32,293.32,379.4,379.4,379.4,41.16,41.16,41.16,990.89,990.89,990.89,11.14,11.14,11.14,6.0,6.0,6.0,4.0,4.0,1,4.0,5.43
winter,weekday,morning,-3.2791412429223574,50.3,50.3,50.3,113.57,113.57,113.57,366.8,366.8,366.8,60.16,60.16,60.16,992.95,992.95,992.95,3.74,3.74,3.74,0.37,0.37,0.37,5.3,5.3,1,5.3,5.11
winter,weekday,morning,0.813380653553843,51.93,51.93,51.93,113.43,113.43,113.43,364.7,364.7,364.7,47.61,47.61,47.61,993.34,993.34,993.34,11.57,11.57,11.57,9.69,9.69,9.69,8.9,8.9,1,8.9,11.43
winter,weekday,morning,1.3713334226996245,50.74,50.74,50.74,293.04,293.04,293.04,376.2,376.2,376.2,46.86,46.86,46.86,992.46,992.46,992.46,12.42,12.42,12.42,9.31,9.31,9.31,4.8,4.8,1,4.8,21.59
winter,weekday,morning,4.358321851549899,51.39,51.39,51.39,293.78,293.78,293.78,386.9,386.9,386.9,40.87,40.87,40.87,985.44,985.44,985.44,17.84,17.84,17.84,13.44,13.44,13.44,14.4,14.4,1,14.4,16.61
winter,weekday,afternoon,1.8848944611104028,66.51,66.51,66.51,294.25,294.25,294.25,370.4,370.4,370.4,33.97,33.97,33.97,984.14,984.14,984.14,18.0,18.0,18.0,12.81,12.81,12.81,7.6,7.6,1,7.6,13.91
winter,weekday,morning,8.359450702178522,64.75,64.75,64.75,114.23,114.23,114.23,370.3,370.3,370.3,61.55,61.55,61.55,967.69,967.69,967.69,15.73,15.73,15.73,9.13,9.13,9.13,13.2,13.2,1,13.2,25.46
winter,weekday,morning,0.8537133007243174,53.78,53.78,53.78,112.74,112.74,112.74,369.0,369.0,369.0,66.38,66.38,66.38,981.85,981.85,981.85,6.68,6.68,6.68,0.81,0.81,0.81,7.8,7.8,1,7.8,1.77
winter,weekday,afternoon,6.508682540435871,65.76,65.76,65.76,113.51,113.51,113.51,362.9,362.9,362.9,44.87,44.87,44.87,979.57,979.57,979.57,18.73,18.73,18.73,14.06,14.06,14.06,6.8,6.8,1,6.8,16.91
winter,weekday,evening,8.433280163407693,64.25,64.25,64.25,294.63,294.63,294.63,362.4,362.4,362.4,65.58,65.58,65.58,966.0,966.0,966.0,14.82,14.82,14.82,8.94,8.94,8.94,8.5,8.5,1,8.5,3.29
winter,weekday,night,4.756525356852339,62.6,62.6,62.6,113.21,113.21,113.21,372.0,372.0,372.0,63.55,63.55,63.55,966.83,966.83,966.83,11.43,11.43,11.43,8.25,8.25,8.25,3.0,3.0,1,3.0,3.64
winter,weekday,morning,7.062012004391659,60.65,60.65,60.65,114.7,114.7,114.7,381.2,381.2,381.2,63.27,63.27,63.27,967.14,967.14,967.14,13.93,13.93,13.93,8.31,8.31,8.31,2.5,2.5,1,2.5,3.92
winter,weekday,morning,7.933342837371444,64.67,64.67,64.67,291.78,291.78,291.78,375.0,375.0,375.0,58.96,58.96,58.96,966.29,966.29,966.29,15.95,15.95,15.95,10.88,10.88,10.88,2.2,2.2,1,2.2,4.12
winter,weekday,afternoon,9.751237738655375,55.02,55.02,55.02,114.17,114.17,114.17,371.2,371.2,371.2,69.85,69.85,69.85,968.33,968.33,968.33,15.22,15.22,15.22,11.5,11.5,11.5,3.2,3.2,1,3.2,11.22
